epoch,acc,loss,lr,val_acc,val_loss
0,0.08051470588235295,4.861526736091165,0.001,0.09444444444444444,6.031696440378825
1,0.19457853695317534,4.02873600808564,0.001,0.17222222222222222,4.243667280409071
2,0.27292981804678795,3.5939710695328344,0.001,0.19,4.51885231229994
3,0.33085777942814704,3.3139118282404523,0.001,0.3788888888888889,3.0340498203701443
4,0.38284441144259235,3.0439164524312097,0.001,0.4222222222222222,2.8507061682807073
5,0.4426290382473078,2.7430173215749227,0.001,0.3711111111111111,3.0435665321350096
6,0.47233568512060986,2.6186584234680335,0.001,0.47888888888888886,2.5444525549146864
7,0.5046416635722243,2.486217209011748,0.001,0.5733333333333334,2.120906198289659
8,0.5362049758744161,2.3169506778072524,0.001,0.5422222222222223,2.281422593858507
9,0.5889342740548839,2.1419140809183443,0.001,0.6322222222222222,1.9854576047261556
10,0.6112142592015605,2.0563455904632355,0.001,0.6844444444444444,1.7535702069600423
11,0.6412922391495738,1.906080870038729,0.001,0.7444444444444445,1.5567909537421332
12,0.6464909023836648,1.8942918788975072,0.001,0.78,1.391044354968601
13,0.68770887486075,1.7595817629307386,0.001,0.79,1.4148500951131184
14,0.6984775343704436,1.7189566886340912,0.001,0.8344444444444444,1.2936700269911023
15,0.7359821760229492,1.6114645613377483,0.001,0.8277777777777777,1.264319748878479
16,0.7497215002299329,1.5199213307717454,0.001,0.8377777777777777,1.228619360923767
17,0.7623468251242498,1.4839743555942255,0.001,0.8233333333333334,1.2106813044018216
18,0.7790568140063904,1.4408503947450997,0.001,0.8755555555555555,1.123389745818244
19,0.7976234682510212,1.365770091985709,0.001,0.8755555555555555,1.1168415784835815
20,0.7738581507667661,1.4510048371551207,0.001,0.8211111111111111,1.2774110396703084
21,0.809134793921204,1.3341227347993336,0.001,0.8811111111111111,1.0942313141292996
22,0.8458967694242869,1.2049618257362515,0.001,0.9188888888888889,0.9309625074598524
23,0.828072781295879,1.2508078879509723,0.001,0.9311111111111111,0.9159833415349324
24,0.8210174526992979,1.2399444708893212,0.001,0.9155555555555556,0.9797318347295125
25,0.8303007798437465,1.2314249044716512,0.001,0.91,0.9655039400524563
26,0.8533234311232459,1.1915518021078921,0.001,0.9166666666666666,0.9508976274066501
27,0.8265874489417007,1.2617123273947937,0.001,0.9244444444444444,0.9745352670881483
28,0.8767174155438562,1.1007195346823777,0.001,0.9444444444444444,0.8673367479112413
29,0.8722614185145209,1.0905934689968348,0.001,0.9477777777777778,0.8492861066924201
30,0.903082064611957,0.9801811490455525,0.001,0.9577777777777777,0.8201323893335131
31,0.9067953954918695,0.9728980194535168,0.001,0.9266666666666666,0.8659332598580255
32,0.915336056442629,0.9422392817266007,0.001,0.9177777777777778,0.9070102053218417
33,0.8860007427104379,1.0143028811987032,0.001,0.9288888888888889,0.8585403132438659
34,0.8897140735239509,1.0205396882805113,0.001,0.9422222222222222,0.8460887659920586
35,0.8815447456423695,1.0446913445965313,0.001,0.94,0.8517120880550808
36,0.8425547716412188,1.1716237923402215,0.001,0.8766666666666667,1.080003849665324
37,0.9335313776678814,0.9064534756936329,0.0003162278,0.9955555555555555,0.7033412657843696
38,0.9717786855030095,0.7856901291352508,0.0003162278,0.9966666666666667,0.6782870033052233
39,0.9780913479391014,0.7380921465953043,0.0003162278,0.9988888888888889,0.6532451838917203
40,0.9788340141549237,0.7170190400808131,0.0003162278,0.9988888888888889,0.6333509765730964
41,0.988117341277239,0.6818748307059876,0.0003162278,0.9988888888888889,0.618067889213562
42,0.9877460081693279,0.6603068921630638,0.0003162278,0.9988888888888889,0.6017210923300849
43,0.9884886743630169,0.6380972358713883,0.0003162278,0.9988888888888889,0.5903368552525838
44,0.9873746751056831,0.6275977315931041,0.0003162278,1.0,0.5722614505555894
45,0.9870033420199051,0.6281136889197416,0.0003162278,1.0,0.5656439770592584
46,0.9810620126363915,0.6283201769387196,0.0003162278,0.9955555555555555,0.573315978580051
47,0.984404010408393,0.6114238433752899,0.0003162278,0.9944444444444445,0.569414939350552
48,0.982918678098481,0.6121201674556626,0.0003162278,0.9944444444444445,0.5535094216134813
49,0.987003341997772,0.5816759872604735,0.0003162278,0.9988888888888889,0.5303894771469964
50,0.9851466765688823,0.5716938822631539,0.0003162278,1.0,0.5187046721246508
51,0.9870033420199051,0.5601794856036413,0.0003162278,1.0,0.5096516161494785
52,0.9888600074266617,0.5520051730595421,0.0003162278,0.9988888888888889,0.5036104072464836
53,0.9925733382844412,0.5334489121784121,0.0003162278,1.0,0.4905924786461724
54,0.9922020051986632,0.5174564113193757,0.0003162278,0.9988888888888889,0.477863277859158
55,0.9847753435273707,0.5368050939745501,0.0003162278,0.9877777777777778,0.5075264807542165
56,0.9777200148533234,0.5493055711304261,0.0003162278,0.9988888888888889,0.47460634324285716
57,0.9896026735982176,0.5166696564796198,0.0003162278,0.9988888888888889,0.4646522886223263
58,0.9851466766131486,0.5220191718652883,0.0003162278,0.9922222222222222,0.49140760832362707
59,0.974378017081322,0.5421556764449322,0.0003162278,0.9955555555555555,0.4773507244057126
60,0.9795766803264795,0.5250798295609268,0.0003162278,0.9922222222222222,0.47514334082603454
61,0.9855180096546602,0.5129343571381368,0.0003162278,0.9955555555555555,0.4625347051355574
62,0.9840326773336816,0.5111446000145927,0.0003162278,0.9955555555555555,0.4649006489912669
63,0.9836613442257706,0.502541769471613,0.0003162278,0.99,0.46444521811273365
64,0.9866320089119941,0.4896635918691616,0.0003162278,0.9977777777777778,0.4452444122897254
65,0.9866320089119941,0.483628358090185,0.0003162278,0.9933333333333333,0.4585933899879456
66,0.9888600074266617,0.47484799025450947,0.0003162278,0.9944444444444445,0.439075010087755
67,0.9870033420199051,0.4738550793934258,0.0003162278,0.9844444444444445,0.4632511888609992
68,0.981433345733236,0.4879034109554723,0.0003162278,0.9922222222222222,0.4522586737738715
69,0.9777200148754566,0.49695356244984235,0.0003162278,0.9644444444444444,0.5359176042344835
70,0.9754920163386558,0.5034334527441351,0.0003162278,0.9888888888888889,0.4524173429277208
